Ticker,Company,Share/ Par,% TNA,Class of shares,CUSIP,Market value
"AGPXX","Invesco Government & Agency Portfolio","371,298,684.98","0.49%","Money Market Fund, Taxable","825252885","$371,298,684.98"
"NCLH","Norwegian Cruise Line Holdings Ltd","7,844,866.00","0.25%","Common Stock","G66721104","$190,394,897.82"
"CCL","Carnival Corp","5,743,282.00","0.24%","Common Stock","143658300","$184,933,680.40"
"MRNA","Moderna Inc","5,199,232.00","0.24%","Common Stock","60770K107","$181,453,196.80"
"RCL","Royal Caribbean Cruises Ltd","579,647.00","0.23%","Common Stock","V7780T103","$174,317,242.31"
"LULU","Lululemon Athletica Inc","804,415.00","0.22%","Common Stock","550021109","$170,833,613.55"
"CMG","Chipotle Mexican Grill Inc","4,447,046.00","0.22%","Common Stock","169656105","$168,631,984.32"
"NEM","Newmont Corp","1,598,862.00","0.22%","Common Stock","651639106","$167,688,646.56"
"GE","General Electric Co","532,161.00","0.22%","Common Stock","369604301","$167,487,031.53"
"TKO","TKO Group Holdings Inc","766,348.00","0.22%","Common Stock","87256C101","$165,140,330.52"
"ALB","Albemarle Corp","1,133,049.00","0.22%","Common Stock","012653101","$164,722,663.62"
"MAR","Marriott International Inc/MD","526,028.00","0.22%","Common Stock","571903202","$165,041,285"
"TPR","Tapestry Inc","1,282,008.00","0.22%","Common Stock","876030107","$165,340,571.76"
"BALL","Ball Corp","3,159,571.00","0.22%","Common Stock","058498106","$165,308,754.72"
"HII","Huntington Ingalls Industries Inc","467,078.00","0.22%","Common Stock","446413106","$165,121,414.56"
"DG","Dollar General Corp","1,198,894.00","0.22%","Common Stock","256677105","$164,871,902.88"
"BA","Boeing Co/The","759,580.00","0.22%","Common Stock","097023105","$164,707,327.20"
"FCX","Freeport-McMoRan Inc","3,249,394.00","0.22%","Common Stock","35671D857","$164,549,312.16"
"AIZ","Assurant Inc","676,992.00","0.21%","Common Stock","04621X108","$163,500,337.92"
"FSLR","First Solar Inc","575,545.00","0.21%","Common Stock","336433107","$163,794,351.55"
"IT","Gartner Inc","653,700.00","0.21%","Common Stock","366651107","$163,725,702"
"LLY","Eli Lilly & Co","151,886.00","0.21%","Common Stock","532457108","$163,502,241.28"
"MRK","Merck & Co Inc","1,546,082.00","0.21%","Common Stock","58933Y105","$161,905,707.04"
"TSLA","Tesla Inc","334,278.00","0.21%","Common Stock","88160R101","$163,371,686.94"
"HWM","Howmet Aerospace Inc","784,528.00","0.21%","Common Stock","443201108","$163,315,193.76"
"V","Visa Inc","463,353.00","0.21%","Common Stock","92826C839","$163,141,957.77"
"HLT","Hilton Worldwide Holdings Inc","556,506.00","0.21%","Common Stock","43300A203","$162,805,830.30"
"YUM","Yum! Brands Inc","1,048,932.00","0.21%","Common Stock","988498101","$162,867,671.64"
"LIN","Linde PLC","384,348.00","0.21%","Common Stock","G54950103","$162,775,221.48"
"UAL","United Airlines Holdings Inc","1,400,887.00","0.21%","Common Stock","910047109","$162,530,909.74"
"HIG","Hartford Insurance Group Inc/The","1,158,847.00","0.21%","Common Stock","416515104","$161,717,098.85"
